# idx_int bit_int post_llr hard
0 0 -106927.55593457 0
1 1 87623.68126849 1
2 1 79758.86336667 1
3 1 76881.91807615 1
4 0 -115031.21866674 0
5 0 -90292.42208085 0
6 0 -76310.83030222 0
7 0 -73561.47590119 0
8 0 -100041.08643196 0
9 1 84388.21339601 1
10 1 89643.77831046 1
11 0 -102213.59900013 0
12 1 102651.73202731 1
13 0 -58922.99919128 0
14 0 -74098.94054898 0
15 1 99657.44372712 1
16 0 -76240.54393124 0
17 0 -71786.41117851 0
18 1 103773.30446930 1
19 0 -100026.64384589 0
20 1 84179.03375134 1
21 1 81722.04514969 1
22 1 79785.91645547 1
23 0 -75280.45228748 0
24 0 -104547.87974356 0
25 0 -56679.31920653 0
26 1 91035.80074756 1
27 0 -61067.60978920 0
28 0 -84594.54656324 0
29 1 101393.77349388 1
30 0 -65240.26073656 0
31 0 -86058.08254440 0
32 1 122095.84655907 1
33 0 -101003.88994257 0
34 1 66791.41366009 1
35 1 78875.16584054 1
36 0 -75707.49031228 0
37 1 74451.12544615 1
38 1 76686.36632174 1
39 0 -96833.63117079 0
40 0 -103134.75100783 0
41 1 83276.21789517 1
42 0 -74833.15945789 0
43 0 -110036.25469164 0
44 1 78044.85662582 1
45 0 -74817.10403225 0
46 0 -109081.26996971 0
47 0 -104375.85812398 0
48 1 98611.75851416 1
49 0 -78934.92216978 0
50 1 70094.29651874 1
51 0 -102730.88745383 0
52 0 -87457.30665108 0
53 0 -88351.10798503 0
54 1 86501.27025454 1
55 0 -51349.03199450 0
56 0 -100388.07823820 0
57 1 90851.96820270 1
58 0 -83259.26271279 0
59 1 89104.27548450 1
60 1 99450.49489043 1
61 0 -122509.06493098 0
62 1 71842.28788194 1
63 1 72053.53572829 1
64 0 -82574.72294554 0
65 1 75986.86436737 1
66 1 73450.94584304 1
67 1 92469.21013523 1
68 1 107745.44712836 1
69 1 48517.60894009 1
70 0 -72975.93862795 0
71 1 82658.49483658 1
72 1 91929.32538110 1
73 1 81528.37714689 1
74 1 101357.44158886 1
75 1 81634.37783817 1
76 0 -50053.45648243 0
77 1 88942.53004989 1
78 0 -78735.73594259 0
79 1 38236.80820438 1
80 1 86260.43147408 1
81 0 -87885.22917013 0
82 1 92432.19991721 1
83 1 48517.60894009 1
84 0 -76771.41856282 0
85 1 69165.64004732 1
86 0 -67812.14873575 0
87 0 -89112.96745788 0
88 1 78347.29448542 1
89 0 -81722.22636542 0
90 0 -63345.36068958 0
91 0 -88268.78779612 0
92 1 94175.75114498 1
93 1 62078.01520696 1
94 1 72703.65620768 1
95 1 99478.84746113 1
96 1 110493.15690261 1
97 1 74311.97326793 1
98 1 68606.58978640 1
99 0 -86416.73832128 0
100 0 -78725.68563818 0
101 0 -87406.73940161 0
102 1 94189.35032731 1
103 0 -113733.70507186 0
104 0 -59692.25800319 0
105 1 75267.43621518 1
106 0 -96873.75390390 0
107 1 90964.99012620 1
108 1 76231.81340185 1
109 0 -97652.41375556 0
110 1 116375.88922579 1
111 1 61080.80952943 1
112 1 78005.59225213 1
113 0 -74559.66744704 0
114 1 83546.01926626 1
115 0 -40163.88390282 0
116 0 -105116.69206362 0
117 0 -99984.33358114 0
118 1 73689.71368836 1
119 1 76787.40089203 1
120 0 -100735.21024047 0
121 0 -89136.60055507 0
122 0 -96865.44558287 0
123 1 97546.29001979 1
124 1 78930.31723218 1
125 0 -73271.92425261 0
126 0 -78887.20792946 0
127 1 92574.82753133 1
128 1 95540.52167546 1
129 1 75760.24879378 1
130 1 103923.59352655 1
131 1 108969.74564231 1
132 0 -45001.96096041 0
133 1 72698.38495402 1
134 1 68944.11403541 1
135 1 73275.84045096 1
136 0 -77720.47141855 0
137 0 -110880.33984753 0
138 0 -99257.14532443 0
139 0 -62039.41188146 0
140 1 88987.24082391 1
141 0 -103135.16046889 0
142 1 95047.64375717 1
143 1 83684.20414495 1
144 1 100255.71517303 1
145 0 -88773.48037066 0
146 0 -32254.25628392 0
147 0 -77380.54343449 0
148 0 -76565.16446875 0
149 1 78229.01734723 1
150 1 88390.17718792 1
151 0 -78734.03614482 0
152 1 100147.03984672 1
153 0 -55031.90668268 0
154 1 79717.63009575 1
155 1 84583.35237143 1
156 1 74967.84578123 1
157 1 81067.48518796 1
158 0 -98055.67649772 0
159 0 -89586.82934582 0
160 1 66541.85731466 1
161 1 87854.03982988 1
162 1 106136.98836709 1
163 0 -79498.68435909 0
164 0 -77930.04813847 0
165 0 -113110.22067176 0
166 0 -101277.46832028 0
167 1 68946.28763883 1
168 0 -90927.09549017 0
169 0 -89022.92887184 0
170 1 77791.52861991 1
171 1 63495.68100824 1
172 0 -71990.39891454 0
173 1 89063.32376659 1
174 1 54302.92734541 1
175 1 91000.85835260 1
176 0 -99473.28476589 0
177 1 74357.81241147 1
178 0 -93376.50316385 0
179 1 86035.98619816 1
180 1 91364.63728449 1
181 0 -29546.92759142 0
182 0 -63806.21367921 0
183 0 -91605.94781266 0
184 1 82268.50632771 1
185 1 73246.02117521 1
186 0 -93797.08800372 0
187 0 -95984.76749315 0
188 0 -72108.41544826 0
189 1 56840.64467006 1
190 0 -91820.53138630 0
191 1 93637.92045337 1
192 0 -100482.80400448 0
193 1 91385.48296607 1
194 1 65560.35825019 1
195 0 -74206.36476950 0
196 1 58093.25969049 1
197 0 -105649.18694377 0
198 0 -100156.91838097 0
199 1 74473.28870548 1
200 1 90537.71304482 1
201 1 101202.70025885 1
202 0 -62196.44635896 0
203 1 62516.74338092 1
204 1 97267.07608397 1
205 0 -72891.29120769 0
206 0 -78816.40651238 0
207 0 -91708.83541490 0
208 1 93886.91106003 1
209 0 -51025.24592542 0
210 1 106170.37853533 1
211 0 -73818.73915780 0
212 1 71706.29524052 1
213 1 79287.97597196 1
214 1 88775.09463838 1
215 1 75182.20501871 1
216 0 -88726.63051040 0
217 0 -96248.85870756 0
218 1 88073.39205725 1
219 1 77646.98222606 1
220 0 -85161.42855700 0
221 0 -89119.98011868 0
222 0 -104128.65714215 0
223 1 66921.49818328 1
224 0 -88632.36772296 0
225 0 -101274.89731857 0
226 0 -76726.48675096 0
227 1 97573.08522046 1
228 0 -100165.56756948 0
229 1 92344.25126025 1
230 1 53785.43583033 1
231 0 -81050.75400272 0
232 0 -93819.37135072 0
233 1 84946.18944137 1
234 0 -72899.67101122 0
235 1 105706.22275362 1
236 1 91782.40633366 1
237 1 84323.37102140 1
238 1 74133.68621486 1
239 0 -96720.00158625 0
240 0 -88114.63196663 0
241 1 80468.08944851 1
242 0 -72244.77948218 0
243 1 97618.94951251 1
244 0 -73380.90177702 0
245 0 -66104.18575131 0
246 1 109434.83048137 1
247 0 -64607.68277461 0
248 1 76693.43933834 1
249 0 -86138.40700878 0
250 1 100478.59500383 1
251 0 -63559.77936520 0
252 1 85119.32892391 1
253 1 94788.54398312 1
254 0 -84196.84414753 0
255 1 86648.20001072 1
256 0 -95879.56567909 0
257 1 106466.14817335 1
258 1 90679.69303659 1
259 0 -53987.96364734 0
260 0 -108446.54037743 0
261 0 -68195.67193296 0
262 0 -94335.38150921 0
263 1 101713.56390340 1
264 0 -107569.67330810 0
265 0 -83298.78548077 0
266 1 73184.67236962 1
267 0 -49906.19485651 0
268 0 -79978.82486507 0
269 0 -77578.65005561 0
270 1 94247.05584253 1
271 0 -115170.92464025 0
272 0 -75838.45047401 0
273 0 -91808.54408349 0
274 0 -101620.84092762 0
275 0 -76824.92362131 0
276 1 100380.35173367 1
277 1 75166.36317209 1
278 0 -78384.80643003 0
279 0 -77753.70308058 0
280 0 -75422.95475744 0
281 1 97165.27215181 1
282 0 -69949.12211019 0
283 1 97864.88921946 1
284 1 95946.87450615 1
285 0 -54005.16163400 0
286 1 68609.00193137 1
287 1 82996.71038921 1
288 0 -101608.27002356 0
289 0 -73662.04423759 0
290 0 -58623.03199613 0
291 1 98380.09054573 1
292 1 79954.54234676 1
293 1 63477.27748424 1
294 0 -90551.74561567 0
