# idx_int bit_int post_llr hard
0 0 -20706.52227325 0
1 0 -25474.13360465 0
2 0 -18776.32668051 0
3 0 -22146.15208866 0
4 0 -18872.56121577 0
5 1 12095.15777311 1
6 0 -14313.65240117 0
7 1 21284.74256243 1
8 1 22757.68206829 1
9 1 25589.42171377 1
10 1 14959.79640358 1
11 1 21742.90757457 1
12 1 16837.42450467 1
13 1 21662.08946522 1
14 1 20136.20733786 1
15 1 24238.55285602 1
16 1 27372.53491591 1
17 1 20741.68678456 1
18 0 -15480.13123081 0
19 1 22289.53852862 1
20 1 27385.97084251 1
21 0 -4631.18214859 0
22 0 -32531.92170595 0
23 0 -24900.52150007 0
24 0 -19934.12867377 0
25 0 -14065.31704212 0
26 1 11842.09384727 1
27 1 19631.01690174 1
28 0 -24844.78505834 0
29 0 -31485.52752458 0
30 0 -17477.28434299 0
31 0 -27588.24203326 0
32 0 -21189.99998568 0
33 0 -27966.37303712 0
34 0 -23593.88558831 0
35 1 35836.72110395 1
36 0 -21592.20841962 0
37 1 28450.43403604 1
38 1 21124.47792909 1
39 0 -28820.91311892 0
40 1 22727.95343477 1
41 0 -20837.91886159 0
42 1 22365.52971439 1
43 0 -35574.28346745 0
44 1 13789.34720613 1
45 0 -19472.31367523 0
46 1 29760.73668281 1
47 0 -14646.46212497 0
48 1 21073.81083622 1
49 0 -26102.15672671 0
50 1 20768.35577567 1
51 1 7784.65210549 1
52 0 -19022.51187718 0
53 1 22090.20030133 1
54 0 -13724.08525151 0
55 0 -22030.88904732 0
56 1 17544.59903729 1
57 1 39683.05869955 1
58 0 -24647.73999688 0
59 1 20860.94075156 1
60 0 -18268.87747222 0
61 0 -17658.42968256 0
62 1 18543.64473423 1
63 0 -32555.72512395 0
64 0 -24795.81420383 0
65 0 -11098.14505864 0
66 1 18753.59470713 1
67 1 31742.63581299 1
68 0 -13079.46372086 0
69 0 -18210.85832281 0
70 0 -25374.17920275 0
71 0 -16009.85108513 0
72 0 -14408.98305931 0
73 0 -17182.64325094 0
74 0 -24912.49556898 0
75 0 -26909.93677047 0
76 0 -31454.26332380 0
77 0 -29338.43474307 0
78 0 -19721.97358299 0
79 1 21499.32684174 1
80 1 9981.26175132 1
81 1 29802.26085029 1
82 1 19842.63276835 1
83 0 -21656.12291423 0
84 1 25766.87419985 1
85 1 31470.85556954 1
86 1 27984.06268205 1
87 0 -29718.26944934 0
88 0 -22504.15644521 0
89 1 19286.58255358 1
90 1 29959.05118149 1
91 1 24190.98213870 1
92 0 -15569.06260730 0
93 1 21985.67379932 1
94 0 -25336.07368792 0
95 0 -22047.16456152 0
96 1 19341.78347804 1
