Turbo Decoder End-to-End Report
symbols=320 n_half_iter=1 f1=21 f2=120 total_outputs=320 expected_outputs=320
final_decision_symbols=320 bit_errors_vs_original=1
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 0 0 15 6 15 -64 0 OK
1 101 1 1 -9 -16 10 59 1 OK
2 282 0 0 12 8 10 -52 0 OK
3 223 1 1 -13 12 7 63 1 OK
4 244 1 1 -10 -16 2 52 1 OK
5 25 1 1 -9 13 -12 56 1 OK
6 206 0 0 13 7 -12 -57 0 OK
7 147 1 1 -16 -5 15 56 1 OK
8 168 0 0 10 15 -16 -52 0 OK
9 269 1 1 -11 11 14 56 1 OK
10 130 0 0 15 15 10 -64 0 OK
11 71 0 0 15 -4 14 -57 0 OK
12 92 1 1 -10 15 -3 56 1 OK
13 193 0 0 5 -16 2 -56 0 OK
14 54 0 0 10 -10 -3 -57 0 OK
15 315 0 0 13 -16 -9 -57 0 OK
16 16 0 0 14 15 -6 -60 0 OK
17 117 1 1 -9 15 15 56 1 OK
18 298 0 0 14 13 15 -55 0 OK
19 239 0 0 15 -14 -10 -39 0 OK
20 260 1 1 -16 15 -14 46 1 OK
21 41 1 1 3 13 -13 36 1 OK
22 222 0 0 8 -7 11 -39 0 OK
23 163 1 1 2 -14 -15 33 1 OK
24 184 1 1 -4 -9 -16 33 1 OK
25 285 0 0 15 6 0 -36 0 OK
26 146 0 0 2 12 4 -33 0 OK
27 87 1 1 -14 10 15 40 1 OK
28 108 1 1 -16 8 15 55 1 OK
29 209 1 1 -7 -14 -16 41 1 OK
30 70 0 0 12 -12 -16 -49 0 OK
31 11 1 1 -15 -12 14 61 1 OK
32 32 1 1 -16 9 -11 61 1 OK
33 133 1 1 -13 9 -6 56 1 OK
34 314 0 0 12 -14 -13 -52 0 OK
35 255 1 1 -15 -10 -11 49 1 OK
36 276 1 1 -13 -14 12 52 1 OK
37 57 0 0 12 14 -6 -49 0 OK
38 238 0 0 4 8 -10 -38 0 OK
39 179 0 0 0 -5 15 -38 0 OK
40 200 1 1 -16 6 -2 52 1 OK
41 301 0 0 15 -16 -12 -38 0 OK
42 162 0 0 11 -16 -2 -54 0 OK
43 103 1 1 -12 9 -13 51 1 OK
44 124 0 0 9 8 -15 -50 0 OK
45 225 0 0 12 13 -12 -47 0 OK
46 86 0 0 7 9 15 -49 0 OK
47 27 0 0 15 5 -15 -57 0 OK
48 48 0 0 15 15 -11 -55 0 OK
49 149 0 0 15 9 8 -56 0 OK
50 10 1 1 -8 -5 11 46 1 OK
51 271 1 1 -10 -11 0 50 1 OK
52 292 1 1 -8 15 -7 46 1 OK
53 73 1 1 -12 9 15 46 1 OK
54 254 1 1 -4 14 -7 46 1 OK
55 195 0 0 15 6 -16 -56 0 OK
56 216 0 0 10 -13 8 -45 0 OK
57 317 0 0 15 -13 15 -45 0 OK
58 178 1 1 -5 12 9 44 1 OK
59 119 1 1 -7 -8 -3 39 1 OK
60 140 1 1 -7 -16 13 36 1 OK
61 241 0 0 13 -8 -16 -32 0 OK
62 102 1 1 -9 2 -16 39 1 OK
63 43 1 1 0 -15 15 32 1 OK
64 64 0 0 15 12 -10 -52 0 OK
65 165 0 0 15 -6 -8 -47 0 OK
66 26 0 0 12 15 0 -40 0 OK
67 287 1 1 10 -11 0 32 1 OK
68 308 0 0 15 -16 5 -37 0 OK
69 89 0 0 10 15 7 -38 0 OK
70 270 1 1 -4 14 12 45 1 OK
71 211 1 1 -16 -5 -15 40 1 OK
72 232 1 1 -3 15 -11 40 1 OK
73 13 0 0 7 12 -6 -38 0 OK
74 194 1 1 -5 -16 -10 45 1 OK
75 135 0 0 15 14 -13 -56 0 OK
76 156 0 0 12 -15 -16 -53 0 OK
77 257 1 1 -12 -8 -11 53 1 OK
78 118 1 1 -7 -15 5 53 1 OK
79 59 1 1 0 -9 -11 47 1 OK
80 80 1 1 -10 -15 -10 53 1 OK
81 181 1 1 -16 -16 -15 48 1 OK
82 42 1 1 -8 -6 -11 41 1 OK
83 303 0 0 15 8 -5 -52 0 OK
84 4 1 1 -10 0 -8 33 1 OK
85 105 0 0 15 -10 -5 -39 0 OK
86 286 0 0 12 3 0 -35 0 OK
87 227 0 0 15 -9 -11 -42 0 OK
88 248 1 1 -15 -16 -6 35 1 OK
89 29 0 0 2 1 5 -20 0 OK
90 210 0 0 2 4 -2 -20 0 OK
91 151 1 1 -15 10 12 33 1 OK
92 172 1 1 -1 13 5 20 1 OK
93 273 1 1 -16 -10 5 43 1 OK
94 134 1 1 -10 13 0 43 1 OK
95 75 1 1 -10 -8 -15 51 1 OK
96 96 0 0 15 15 -15 -43 0 OK
97 197 0 0 4 -14 -13 -46 0 OK
98 58 1 1 -16 -6 15 59 1 OK
99 319 0 0 15 12 14 -59 0 OK
100 20 1 1 -14 -16 10 57 1 OK
101 121 1 1 -16 15 -11 63 1 OK
