BER Report From Final LLR Dump
vector_file=sim_vectors\lte_frame_input_vectors.txt
llr_file=tb_turbo_top_final_llrs.txt
hard_decision_rule=bit_1_if_llr_gt_0_else_0
total_bits=320
valid_outputs=320
missing_outputs=0
malformed_llr_lines=0
bit_errors=3
ber_total=0.009375000000
ber_seen_only=0.009375000000
ber_with_missing_as_errors=0.009375000000
hard_one_count=150

idx bit_orig final_llr seen hard match
221 1 44 1 1 OK
222 0 -46 1 0 OK
223 1 31 1 1 OK
224 1 43 1 1 OK
225 0 -45 1 0 OK
226 0 -47 1 0 OK
227 0 -37 1 0 OK
228 0 -46 1 0 OK
229 1 43 1 1 OK
230 0 -41 1 0 OK
231 1 42 1 1 OK
232 0 -40 1 0 OK
233 1 34 1 1 OK
234 1 36 1 1 OK
235 1 33 1 1 OK
236 0 -24 1 0 OK
237 1 26 1 1 OK
238 0 -24 1 0 OK
239 1 25 1 1 OK
240 1 -2 1 0 ERR
241 0 -21 1 0 OK
242 0 -26 1 0 OK
243 1 37 1 1 OK
244 0 -29 1 0 OK
245 0 -29 1 0 OK
246 1 32 1 1 OK
247 1 29 1 1 OK
248 1 31 1 1 OK
249 1 29 1 1 OK
250 1 11 1 1 OK
251 1 26 1 1 OK
252 1 34 1 1 OK
253 0 -26 1 0 OK
254 0 -31 1 0 OK
255 1 25 1 1 OK
256 0 -20 1 0 OK
257 0 -11 1 0 OK
258 0 -31 1 0 OK
259 1 28 1 1 OK
260 1 20 1 1 OK
261 1 20 1 1 OK
262 1 49 1 1 OK
263 0 -47 1 0 OK
264 1 43 1 1 OK
265 1 43 1 1 OK
266 0 -52 1 0 OK
267 0 -39 1 0 OK
268 0 -27 1 0 OK
269 1 39 1 1 OK
270 1 37 1 1 OK
271 1 23 1 1 OK
272 0 -23 1 0 OK
273 0 -12 1 0 OK
274 1 21 1 1 OK
275 0 -14 1 0 OK
276 1 21 1 1 OK
277 0 -14 1 0 OK
278 0 -12 1 0 OK
279 0 1 1 1 ERR
280 0 -11 1 0 OK
281 1 10 1 1 OK
282 0 -19 1 0 OK
283 0 -28 1 0 OK
284 1 40 1 1 OK
285 0 -38 1 0 OK
286 0 -27 1 0 OK
287 0 -26 1 0 OK
288 0 -44 1 0 OK
289 0 -42 1 0 OK
290 0 -42 1 0 OK
291 0 -39 1 0 OK
292 0 -41 1 0 OK
293 0 -49 1 0 OK
294 1 49 1 1 OK
295 0 -49 1 0 OK
296 1 48 1 1 OK
297 1 55 1 1 OK
298 1 57 1 1 OK
299 1 51 1 1 OK
300 1 44 1 1 OK
301 0 -51 1 0 OK
302 0 -19 1 0 OK
303 0 -35 1 0 OK
304 1 35 1 1 OK
305 1 34 1 1 OK
306 0 -27 1 0 OK
307 1 27 1 1 OK
308 0 -37 1 0 OK
309 0 -19 1 0 OK
310 0 -32 1 0 OK
311 0 -27 1 0 OK
312 0 -35 1 0 OK
313 0 -19 1 0 OK
314 1 16 1 1 OK
315 0 -26 1 0 OK
316 1 19 1 1 OK
317 0 -26 1 0 OK
318 1 -16 1 0 ERR
319 0 -16 1 0 OK
