Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
124 1700 1 1 -14 14 10 43 0 ERR
125 2875 0 0 9 -14 -8 -1 1 ERR
126 3474 0 0 7 13 -7 -29 1 ERR
127 3497 0 0 15 8 9 8 0 OK
128 2944 1 1 -1 10 -7 27 0 ERR
129 1815 1 1 -16 12 15 1 0 ERR
130 110 1 1 -16 -12 15 46 0 ERR
131 3973 0 0 15 -12 -2 -21 1 ERR
132 1116 1 1 -10 -5 7 61 0 ERR
133 3827 0 0 2 -1 0 -34 1 ERR
134 5962 1 1 -14 15 -11 -8 1 OK
135 1377 1 1 -12 -16 -15 56 0 ERR
136 2360 0 0 13 14 0 -37 1 ERR
137 2767 0 0 14 -6 -14 -53 1 ERR
138 2598 1 1 -10 -13 6 63 0 ERR
139 1853 1 1 -1 -14 15 46 0 ERR
140 532 1 1 -16 -16 -16 60 0 ERR
141 4779 0 0 9 5 6 -64 1 ERR
142 2306 0 0 8 15 -16 -25 1 ERR
143 5401 1 1 -13 14 9 63 0 ERR
144 1776 0 0 15 -16 -10 -64 1 ERR
145 3719 0 0 15 3 -11 -57 1 ERR
146 5086 1 1 -7 -13 10 45 0 ERR
147 5877 0 0 11 8 -16 -21 1 ERR
148 6092 0 0 7 12 3 -59 1 ERR
149 5731 1 1 -12 15 15 40 0 ERR
150 4794 1 1 6 -13 -2 41 0 ERR
151 3281 1 1 -4 7 -16 44 0 ERR
152 1192 0 0 14 8 5 -40 1 ERR
153 4671 1 1 -16 -7 -1 23 0 ERR
154 1430 1 1 -13 -16 -9 37 0 ERR
155 3757 1 1 -13 15 9 17 0 ERR
156 5508 0 0 -1 -16 15 37 0 OK
157 539 0 0 15 -16 -6 -3 1 ERR
158 1138 1 1 -16 15 15 28 0 ERR
159 1161 1 1 -10 -9 -16 49 0 ERR
160 608 1 1 -1 -16 -7 30 0 ERR
161 5623 0 0 9 -11 -14 8 0 OK
162 3918 1 1 -5 15 15 -64 1 OK
163 1637 0 0 15 13 15 -64 1 ERR
164 4924 0 0 11 11 15 42 0 OK
165 1491 0 0 6 14 4 46 0 OK
166 3626 0 0 15 5 -16 -54 1 ERR
167 5185 1 1 -10 -13 9 28 0 ERR
168 24 1 1 -16 -6 9 63 0 ERR
169 431 0 0 14 -16 15 -42 1 ERR
170 262 0 0 6 -16 15 0 0 OK
171 5661 0 0 15 15 -6 -49 1 ERR
172 4340 0 0 14 -16 -8 63 0 OK
173 2443 0 0 15 -5 6 -52 1 ERR
174 6114 0 0 1 4 9 -36 1 ERR
175 3065 0 0 -2 -9 -11 41 0 OK
176 5584 1 1 -14 5 -16 63 0 ERR
177 1383 0 0 8 -2 -7 -64 1 ERR
178 2750 1 1 -6 2 -16 63 0 ERR
179 3541 1 1 -9 10 -14 63 0 ERR
180 3756 0 0 -2 -2 15 2 0 OK
181 3395 0 0 7 10 -11 20 0 OK
182 2458 0 0 15 15 -1 -34 1 ERR
