total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
110 1 0 1 63.00000000 -10 ERR OK ERR
111 0 1 1 -64.00000000 -55 OK ERR ERR
112 0 1 0 -64.00000000 9 ERR OK ERR
113 1 0 0 63.00000000 26 OK ERR ERR
114 0 1 0 -64.00000000 26 ERR OK ERR
115 0 1 1 -64.00000000 -32 OK ERR ERR
116 1 0 0 63.00000000 63 OK ERR ERR
117 0 1 1 -64.00000000 -28 OK ERR ERR
118 0 1 1 -64.00000000 -9 OK ERR ERR
119 0 1 1 -64.00000000 -30 OK ERR ERR
120 0 1 0 -64.00000000 9 ERR OK ERR
121 0 1 0 -64.00000000 14 ERR OK ERR
122 0 1 1 -64.00000000 -30 OK ERR ERR
123 0 1 1 -64.00000000 -1 OK ERR ERR
124 1 0 0 63.00000000 43 OK ERR ERR
125 0 1 1 -64.00000000 -1 OK ERR ERR
126 0 1 1 -64.00000000 -29 OK ERR ERR
127 0 1 0 -64.00000000 8 ERR OK ERR
128 1 0 0 63.00000000 27 OK ERR ERR
129 1 0 0 63.00000000 1 OK ERR ERR
130 1 0 0 63.00000000 46 OK ERR ERR
131 0 1 1 -64.00000000 -21 OK ERR ERR
132 1 0 0 63.00000000 61 OK ERR ERR
133 0 1 1 -64.00000000 -34 OK ERR ERR
134 1 0 1 63.00000000 -8 ERR OK ERR
135 1 0 0 63.00000000 56 OK ERR ERR
136 0 1 1 -64.00000000 -37 OK ERR ERR
137 0 1 1 -64.00000000 -53 OK ERR ERR
138 1 0 0 63.00000000 63 OK ERR ERR
139 1 0 0 63.00000000 46 OK ERR ERR
140 1 0 0 63.00000000 60 OK ERR ERR
141 0 1 1 -64.00000000 -64 OK ERR ERR
142 0 1 1 -64.00000000 -25 OK ERR ERR
143 1 0 0 63.00000000 63 OK ERR ERR
144 0 1 1 -64.00000000 -64 OK ERR ERR
145 0 1 1 -64.00000000 -57 OK ERR ERR
146 1 0 0 63.00000000 45 OK ERR ERR
147 0 1 1 -64.00000000 -21 OK ERR ERR
148 0 1 1 -64.00000000 -59 OK ERR ERR
149 1 0 0 63.00000000 40 OK ERR ERR
150 1 0 0 63.00000000 41 OK ERR ERR
151 1 0 0 63.00000000 44 OK ERR ERR
152 0 1 1 -64.00000000 -40 OK ERR ERR
153 1 0 0 63.00000000 23 OK ERR ERR
154 1 0 0 63.00000000 37 OK ERR ERR
155 1 0 0 63.00000000 17 OK ERR ERR
156 0 1 0 -64.00000000 37 ERR OK ERR
