Turbo Decoder End-to-End Report
symbols=3200 n_half_iter=11 f1=111 f2=240 total_outputs=3200 expected_outputs=3200
final_decision_symbols=3200 bit_errors_vs_original=2370
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 0 0 11 15 15 -64 1 ERR
1 1151 1 1 -8 -7 -16 63 0 ERR
2 222 0 0 15 6 6 -64 1 ERR
3 413 1 1 -16 15 12 63 0 ERR
4 1724 1 1 -16 0 11 63 0 ERR
5 955 1 1 -5 5 -16 63 0 ERR
6 1306 0 0 9 15 -15 -64 1 ERR
7 2777 1 1 -11 -1 15 63 0 ERR
8 2168 0 0 10 15 -16 -64 1 ERR
9 2679 1 1 -10 12 -7 63 0 ERR
10 1110 0 0 15 15 15 -64 1 ERR
11 661 0 0 15 -11 -6 -64 1 ERR
12 1332 1 1 -10 14 -16 63 0 ERR
13 3123 0 0 6 -4 -12 -54 1 ERR
14 2834 0 0 15 -13 -8 -64 1 ERR
15 465 0 0 13 -7 -12 -40 1 ERR
16 2416 0 0 15 11 -6 -64 1 ERR
17 2287 1 1 -9 6 -6 -50 1 OK
18 78 0 0 15 5 7 -46 1 ERR
19 2189 0 0 4 -16 -2 34 0 OK
20 2220 1 1 -16 15 -16 -9 1 OK
21 171 1 1 -7 9 14 47 0 ERR
22 2442 0 0 15 -3 -13 1 0 OK
23 2633 1 1 -16 -4 -9 -1 1 OK
24 744 1 1 -9 -16 15 -11 1 OK
25 3175 0 0 10 15 -7 -35 1 ERR
26 326 0 0 1 10 10 31 0 OK
27 1797 1 1 -13 14 7 52 0 ERR
28 1188 1 1 -7 15 -2 36 0 ERR
29 1699 1 1 -16 -16 6 43 0 ERR
30 130 0 0 7 10 11 30 0 OK
31 2881 1 1 -15 -14 15 0 0 ERR
32 352 1 1 -12 12 15 -26 1 OK
33 2143 1 1 -16 14 15 -26 1 OK
34 1854 0 0 15 -11 15 -11 1 ERR
35 2685 1 1 -12 -6 15 35 0 ERR
36 1436 1 1 -7 -9 14 55 0 ERR
37 1307 0 0 15 1 9 -31 1 ERR
38 2298 0 0 8 13 9 0 0 OK
39 1209 0 0 12 -1 14 11 0 OK
40 1240 1 1 -4 0 -12 26 0 ERR
41 2391 0 0 9 0 -7 -24 1 ERR
42 1462 0 0 14 -9 -10 -46 1 ERR
43 1653 1 1 -7 9 -13 20 0 ERR
44 2964 0 0 11 7 5 -57 1 ERR
45 2195 0 0 15 10 5 -25 1 ERR
46 2546 0 0 12 15 15 -32 1 ERR
47 817 0 0 10 -1 -4 -46 1 ERR
48 208 0 0 9 10 3 30 0 OK
49 719 0 0 6 0 -13 20 0 OK
50 2350 1 1 -16 -8 -16 62 0 ERR
51 1901 1 1 -7 -6 -11 -39 1 OK
52 2572 1 1 -13 15 11 18 0 ERR
53 1163 1 1 -6 11 10 43 0 ERR
54 874 1 1 -1 14 12 51 0 ERR
55 1705 0 0 6 4 14 -48 1 ERR
56 456 0 0 15 -1 9 -48 1 ERR
57 327 0 0 2 -16 10 -59 1 ERR
58 1318 1 1 0 15 -9 63 0 ERR
59 229 1 1 -14 -16 -16 47 0 ERR
60 260 1 1 -11 -14 1 25 0 ERR
61 1411 0 0 6 -9 -6 -51 1 ERR
62 482 1 1 -16 13 15 63 0 ERR
63 673 1 1 -16 -16 -4 63 0 ERR
64 1984 0 0 2 6 15 63 0 OK
65 1215 0 0 7 -8 -10 7 0 OK
66 1566 0 0 15 1 -14 -46 1 ERR
67 3037 1 1 -5 -16 -16 55 0 ERR
68 2428 0 0 1 -3 -16 -64 1 ERR
69 2939 0 0 9 15 -11 -61 1 ERR
70 1370 1 1 -16 14 -16 63 0 ERR
71 921 1 1 -12 -16 2 63 0 ERR
72 1592 1 1 -4 14 9 -64 1 OK
73 183 0 0 11 3 8 60 0 OK
74 3094 1 1 -2 -7 10 -37 1 OK
75 725 0 0 15 3 15 -52 1 ERR
76 2676 0 0 0 0 -16 60 0 OK
77 2547 1 1 1 -16 8 -52 1 OK
78 338 1 1 0 -2 15 -52 1 OK
79 2449 1 1 -9 -8 -12 -52 1 OK
80 2480 1 1 -16 -5 8 63 0 ERR
81 431 1 1 -16 -12 -8 37 0 ERR
82 2702 1 1 -4 -5 15 63 0 ERR
83 2893 0 0 13 12 15 -64 1 ERR
84 1004 1 1 -16 -16 -10 63 0 ERR
85 235 0 0 11 -14 4 -64 1 ERR
86 586 0 0 15 12 8 -64 1 ERR
87 2057 0 0 15 -12 15 -64 1 ERR
88 1448 1 1 -16 -15 15 47 0 ERR
89 1959 0 0 15 15 12 -64 1 ERR
90 390 0 0 12 11 -16 -64 1 ERR
91 3141 1 1 -5 15 -15 63 0 ERR
92 612 1 1 -13 10 -12 53 0 ERR
93 2403 1 1 -14 -7 6 63 0 ERR
94 2114 1 1 -10 10 11 63 0 ERR
95 2945 1 1 -9 -16 12 50 0 ERR
96 1696 0 0 15 13 9 -64 1 ERR
97 1567 0 0 2 2 -9 -58 1 ERR
98 2558 1 1 -7 -7 10 -64 1 OK
99 1469 0 0 15 6 -13 -29 1 ERR
100 1500 1 1 -13 -16 -6 40 0 ERR
101 2651 1 1 -13 15 -7 35 0 ERR
102 1722 1 1 -7 -13 12 57 0 ERR
103 1913 0 0 13 15 -1 -52 1 ERR
104 24 0 0 12 -3 -9 -36 1 ERR
105 2455 1 1 -16 -14 12 63 0 ERR
106 2806 0 0 11 11 4 -49 1 ERR
107 1077 0 0 7 15 -6 -64 1 ERR
108 468 1 1 -16 4 3 6 0 ERR
109 979 1 1 -16 8 9 32 0 ERR
