total_symbols=40
rtl_coverage=40
hard_errors_vs_reference=0
sign_mismatch_vs_reference=0
mean_abs_llr_delta=0.000000
floating_coverage=40
hard_errors_vs_floating=6
sign_mismatch_vs_floating=6
mean_abs_llr_delta_vs_floating=68475.173891

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match
0 0 1 1 -59.00000000 -59 OK
1 1 0 0 42.00000000 42 OK
2 0 1 1 -49.00000000 -49 OK
3 1 0 0 51.00000000 51 OK
4 1 0 0 12.00000000 12 OK
5 1 1 1 -35.00000000 -35 OK
6 0 1 1 -57.00000000 -57 OK
7 1 0 0 47.00000000 47 OK
8 0 1 1 -41.00000000 -41 OK
9 1 0 0 57.00000000 57 OK
10 0 1 1 -38.00000000 -38 OK
11 0 1 1 -46.00000000 -46 OK
12 1 0 0 50.00000000 50 OK
13 0 1 1 -50.00000000 -50 OK
14 0 1 1 -46.00000000 -46 OK
15 0 1 1 -38.00000000 -38 OK
16 0 0 0 22.00000000 22 OK
17 1 0 0 36.00000000 36 OK
18 0 1 1 -30.00000000 -30 OK
19 0 1 1 -44.00000000 -44 OK
20 1 0 0 38.00000000 38 OK
21 1 0 0 38.00000000 38 OK
22 0 1 1 -50.00000000 -50 OK
23 1 0 0 48.00000000 48 OK
24 1 0 0 30.00000000 30 OK
25 0 1 1 -39.00000000 -39 OK
26 0 1 1 -46.00000000 -46 OK
27 1 0 0 35.00000000 35 OK
28 1 0 0 43.00000000 43 OK
29 1 0 0 48.00000000 48 OK
30 0 0 0 38.00000000 38 OK
31 1 0 0 36.00000000 36 OK
32 1 0 0 50.00000000 50 OK
33 1 0 0 53.00000000 53 OK
34 0 1 1 -48.00000000 -48 OK
35 1 0 0 38.00000000 38 OK
36 1 1 1 -27.00000000 -27 OK
37 0 1 1 -34.00000000 -34 OK
38 0 1 1 -48.00000000 -48 OK
39 0 1 1 -52.00000000 -52 OK
