Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=40
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
128 2944 1 1 -7 15 1 63 1 OK
129 1815 0 0 8 7 8 -64 0 OK
130 110 1 1 -7 12 -11 63 1 OK
131 3973 0 0 13 -9 -13 -64 0 OK
132 1116 1 1 -15 -14 -5 63 1 OK
133 3827 0 0 6 5 7 -64 0 OK
134 5962 1 1 -8 -8 11 63 1 OK
135 1377 0 0 1 0 -11 -64 0 OK
136 2360 1 1 -11 -16 10 63 1 OK
137 2767 1 1 -7 -1 -7 63 1 OK
138 2598 1 1 -10 5 8 63 1 OK
139 1853 1 1 -7 10 -7 63 1 OK
140 532 0 0 8 11 9 -64 0 OK
141 4779 0 0 3 -3 13 -64 0 OK
142 2306 1 1 -10 9 -6 63 1 OK
143 5401 1 1 -8 9 10 63 1 OK
144 1776 0 0 3 -13 8 -64 0 OK
145 3719 1 1 -16 -1 -14 63 1 OK
146 5086 1 1 5 3 1 63 1 OK
147 5877 0 0 4 7 -3 -64 0 OK
148 6092 0 0 7 -5 7 -64 0 OK
149 5731 1 1 -16 12 1 63 1 OK
150 4794 0 0 8 -15 -5 -64 0 OK
151 3281 0 0 12 13 10 -64 0 OK
152 1192 1 1 -16 -6 -2 63 1 OK
153 4671 1 1 -16 14 7 63 1 OK
154 1430 0 0 2 4 15 -64 0 OK
155 3757 1 1 -16 -7 10 63 1 OK
156 5508 1 1 -6 -4 -8 63 1 OK
157 539 1 1 -9 7 -7 63 1 OK
158 1138 0 0 7 -2 -3 -64 0 OK
159 1161 1 1 -2 11 -3 63 1 OK
160 608 1 1 -15 2 -10 63 1 OK
161 5623 1 1 0 15 -16 63 1 OK
162 3918 0 0 15 6 -13 -64 0 OK
163 1637 0 0 13 -16 -8 -64 0 OK
164 4924 0 0 15 -1 3 -64 0 OK
165 1491 0 0 9 -9 15 -64 0 OK
166 3626 1 1 -10 -13 10 63 1 OK
167 5185 1 1 -14 9 11 63 1 OK
168 24 1 1 -10 6 -16 63 1 OK
169 431 0 0 7 -4 2 -64 0 OK
170 262 1 1 -16 -7 9 63 1 OK
171 5661 1 1 -16 -7 15 63 1 OK
172 4340 0 0 9 8 13 -64 0 OK
173 2443 1 1 -6 -2 14 63 1 OK
174 6114 1 1 2 6 11 63 1 OK
175 3065 1 1 -10 -7 -8 63 1 OK
176 5584 1 1 -16 -16 -16 63 1 OK
177 1383 1 1 -5 10 2 63 1 OK
178 2750 1 1 -6 8 -11 63 1 OK
179 3541 0 0 10 -16 8 -64 0 OK
180 3756 1 1 -2 -8 8 63 1 OK
181 3395 0 0 4 7 -15 -64 0 OK
182 2458 0 0 13 9 -6 -64 0 OK
183 945 0 0 13 -12 15 -64 0 OK
184 5000 1 1 -15 2 -5 63 1 OK
185 2335 1 1 -10 7 -3 63 1 OK
186 5238 0 0 1 -8 1 -64 0 OK
187 1421 0 0 4 1 11 -64 0 OK
188 3172 1 1 -13 -11 6 63 1 OK
189 4347 1 1 -16 4 -16 63 1 OK
190 4946 0 0 -4 6 8 -64 0 OK
191 4969 0 0 7 15 10 -64 0 OK
192 4416 0 0 -2 6 7 -64 0 OK
193 3287 0 0 5 15 -13 -64 0 OK
194 1582 0 0 8 11 7 -64 0 OK
195 5445 1 1 -10 -6 -11 63 1 OK
196 2588 0 0 9 11 3 -64 0 OK
197 5299 1 1 -14 11 -12 63 1 OK
198 1290 1 1 -3 -8 8 63 1 OK
