# idx_int bit_int post_llr hard
0 0 -57008.45373827 0
1 1 48273.61423997 1
2 1 41606.25433335 1
3 0 -37262.23596684 0
4 1 69536.76785011 1
5 1 64341.60676223 1
6 1 52407.52045328 1
7 0 -62553.94259182 0
8 1 68112.56771009 1
9 1 56293.79544210 1
10 0 -24565.61080161 0
11 0 -44863.90866228 0
12 1 49528.21254492 1
13 1 46554.11360281 1
14 1 45383.03499909 1
15 1 25265.64409173 1
16 0 -44410.76081870 0
17 0 -45075.19029023 0
18 1 88795.05288994 1
19 0 -55379.58074344 0
20 1 37190.95447160 1
21 0 -47574.11024732 0
22 0 -49542.49070911 0
23 0 -38067.86768145 0
24 0 -43421.54166126 0
25 1 70961.03006484 1
26 1 45069.08343146 1
27 1 57058.50915212 1
28 1 49463.32454310 1
29 0 -57257.76366378 0
30 0 -43810.31239835 0
31 1 21334.09841329 1
32 1 77796.21471648 1
33 0 -33243.20697819 0
34 0 -56817.59447536 0
35 0 -34001.43614387 0
36 1 35988.08256916 1
37 1 45006.07167556 1
38 1 46285.59656104 1
39 1 63211.40671695 1
40 1 40184.38186463 1
41 1 51074.85215273 1
42 0 -56787.84662358 0
43 0 -27552.96870048 0
44 0 -63743.52852612 0
45 1 49812.68440061 1
46 1 61209.98294822 1
47 1 67070.91534510 1
48 0 -54470.36752241 0
49 1 34045.36565929 1
50 0 -41106.25818671 0
51 1 30076.06526419 1
52 1 45470.30040631 1
53 0 -34001.05899674 0
54 1 68762.72644871 1
55 1 29110.99786398 1
56 1 27518.53515906 1
57 0 -35072.94834155 0
58 0 -60468.01093936 0
59 0 -44712.75597874 0
60 1 56378.55146872 1
61 0 -65668.30686054 0
62 1 44051.02360707 1
63 1 36322.20437893 1
64 0 -36993.63356844 0
65 0 -64694.88269622 0
66 0 -52875.59565196 0
67 1 54045.73783350 1
68 0 -57101.48467716 0
69 1 43051.53357208 1
70 1 50993.78353115 1
71 1 37763.30706184 1
72 0 -57995.03479716 0
73 1 22741.88957499 1
74 0 -54696.76823597 0
75 1 45376.23347874 1
76 1 59360.22324803 1
77 0 -25397.83893573 0
78 1 64258.92008100 1
79 1 38811.33420068 1
80 1 50478.49302564 1
81 1 71365.71301876 1
82 0 -55027.11584488 0
83 1 69916.51963131 1
84 1 37720.49815170 1
85 1 48565.45947130 1
86 0 -48945.63490187 0
87 1 25315.90165643 1
88 1 52151.57054896 1
89 0 -37825.64689744 0
90 0 -56464.98935672 0
91 1 32813.60998965 1
92 0 -42058.67309443 0
93 0 -31400.25527554 0
94 1 30724.94270652 1
95 0 -48492.48636343 0
96 1 57245.83682542 1
97 1 61303.69144174 1
98 0 -17814.14917352 0
99 0 -15326.83630595 0
100 0 -49457.73350082 0
101 1 50218.14360807 1
102 0 -51865.28584350 0
103 0 -67537.23883680 0
104 1 41190.25392213 1
105 1 41217.18990103 1
106 0 -56485.25134118 0
107 1 21147.12493691 1
108 1 27105.20032239 1
109 1 59295.72772836 1
110 0 -59785.44237028 0
111 1 68638.67629116 1
112 1 23246.35332923 1
113 0 -36904.50608514 0
114 1 35035.93566378 1
115 1 43474.62239908 1
116 0 -78837.24977993 0
117 0 -53337.90086839 0
118 0 -21517.39914791 0
119 0 -25296.37700601 0
120 1 51312.93468135 1
121 1 51212.46083706 1
122 1 26031.75025443 1
123 1 70159.41608639 1
124 1 34852.64676657 1
125 0 -64735.44247474 0
126 0 -39134.45447658 0
127 0 -45133.66881954 0
128 1 44463.62058996 1
129 1 52063.72172340 1
130 1 67619.25978328 1
131 1 57820.13751152 1
132 0 -36112.12599842 0
133 0 -38716.21802638 0
134 1 35041.95769554 1
135 1 57257.87419841 1
136 1 52594.76913200 1
137 1 59270.42617527 1
138 0 -53736.67456550 0
139 1 46127.42116686 1
140 0 -38377.35824144 0
141 1 59007.27483667 1
142 0 -47771.41583648 0
143 1 48560.65313685 1
144 1 56864.85083400 1
145 1 68487.41090710 1
146 0 -67265.61601307 0
147 1 16747.88608683 1
148 1 41053.16795486 1
149 0 -67033.73325889 0
150 0 -42516.58431233 0
151 1 70260.21433222 1
152 1 57922.59176496 1
153 0 -67167.01390253 0
154 1 46902.34729051 1
155 0 -63257.06244271 0
156 1 63148.85929051 1
157 1 53909.47924296 1
158 0 -41202.17620321 0
159 0 -37183.19879537 0
160 1 70035.95253942 1
161 1 54057.89148790 1
162 0 -69059.68807018 0
163 1 57727.87121455 1
164 1 43735.08904910 1
165 1 66357.44490269 1
166 1 65238.76920383 1
167 1 44630.14068367 1
168 0 -29680.13712951 0
169 0 -68011.38118479 0
170 1 51713.57927282 1
171 1 47942.88339205 1
172 0 -80583.91385193 0
173 0 -59132.76500537 0
174 0 -62246.07677313 0
175 1 43180.64058014 1
176 1 57254.34500763 1
177 0 -39311.48840604 0
178 1 30490.25715748 1
179 1 53222.63478672 1
180 0 -60129.49028675 0
181 1 70913.37138976 1
182 0 -53909.84349569 0
183 1 65624.68154605 1
184 0 -66127.15523073 0
185 1 47430.46916295 1
186 0 -66247.48802046 0
187 0 -47055.92942944 0
188 1 51311.07903484 1
189 1 59960.46289636 1
190 0 -70633.61387158 0
191 1 40802.41370767 1
192 1 40644.07478186 1
193 0 -67531.81237817 0
194 1 55395.13592982 1
195 0 -40822.06308921 0
196 1 58072.83450338 1
197 0 -56467.78228656 0
198 1 38987.58539644 1
199 1 54084.01348265 1
200 0 -80218.82028253 0
201 1 72048.34913153 1
202 1 66339.92181059 1
203 0 -54827.57264899 0
204 1 47592.42662053 1
205 1 45226.38335238 1
206 1 40013.26096066 1
207 0 -60497.11912150 0
208 1 54215.59436246 1
209 1 55708.87897194 1
210 1 45564.26662589 1
211 1 44794.90919817 1
212 0 -58610.59596754 0
213 0 -49143.73093650 0
214 0 -77579.88721102 0
215 0 -54290.54401789 0
216 0 -60029.73923047 0
217 0 -50321.12683431 0
218 1 48754.27152443 1
219 0 -61560.85310863 0
220 0 -49001.39170076 0
221 0 -47131.66841462 0
222 1 71581.50947423 1
223 0 -47902.01128537 0
224 0 -59160.04165965 0
225 1 32909.84457765 1
226 1 66293.31214713 1
227 1 48062.39157369 1
228 0 -67853.29605909 0
229 0 -52997.75406580 0
230 0 -49148.46951294 0
231 0 -39533.99579049 0
232 1 56569.97762136 1
233 1 46728.62973570 1
234 0 -40130.30932096 0
235 0 -70432.32115101 0
236 0 -61579.09423222 0
237 0 -76985.61970293 0
238 0 -49937.54110724 0
239 1 52323.68069898 1
240 0 -63412.28172145 0
241 0 -8396.48750289 0
242 0 -62868.67859177 0
243 1 60524.56222545 1
244 1 67205.87958377 1
245 0 -21470.03720195 0
246 0 -56694.16883210 0
247 0 -49918.03231217 0
248 1 43231.34729228 1
249 0 -70333.39269337 0
250 0 -47865.35639761 0
251 1 62373.28871865 1
252 0 -55605.90439602 0
253 1 35734.80591247 1
254 1 61308.08987574 1
255 1 47926.67562865 1
256 1 78614.77129414 1
257 0 -51207.91263973 0
258 0 -69275.06157671 0
259 1 50986.44024298 1
260 0 -60975.07199493 0
261 0 -30291.87941799 0
262 1 53303.01492747 1
263 1 50979.70165658 1
264 1 73307.36211607 1
265 1 49481.89498663 1
266 0 -39407.36803395 0
267 1 59386.67495127 1
268 0 -63053.42911533 0
269 0 -39263.11107390 0
270 0 -48522.97973046 0
271 1 58175.95440699 1
272 1 61353.10092395 1
273 0 -33797.99734420 0
274 0 -62841.68173300 0
275 1 61061.38479241 1
276 1 35593.58219050 1
277 1 60669.27291611 1
278 0 -58035.45156524 0
279 0 -40732.56293355 0
280 0 -18464.76534820 0
281 1 33929.02089537 1
282 1 73119.48384973 1
283 0 -14651.15164824 0
284 0 -62427.50039339 0
285 1 41180.12093523 1
286 1 24817.69949323 1
287 1 36065.91749996 1
288 0 -42221.98844576 0
289 1 67142.70773258 1
290 0 -16441.04211014 0
291 0 -55433.76066263 0
292 1 81683.49825688 1
293 0 -56190.41804055 0
294 1 53394.24507374 1
295 0 -62796.95911849 0
296 0 -22792.70643203 0
297 0 -36626.03427193 0
298 1 50477.16425489 1
299 0 -42324.67010389 0
300 0 -21463.36744257 0
301 0 -24372.06239259 0
302 1 52801.16623475 1
303 0 -32722.22488577 0
304 0 -49016.25885299 0
305 1 54053.36319082 1
306 1 38943.16298863 1
307 0 -44807.08636866 0
308 0 -31445.70182170 0
309 1 39506.47145897 1
310 1 43438.59480727 1
311 1 45992.20524841 1
312 0 -61793.28018216 0
313 1 59028.56718890 1
314 0 -53805.76342344 0
315 1 45223.42487628 1
316 1 32399.20434884 1
317 0 -42086.69447967 0
318 1 37585.86881941 1
319 1 46618.23529302 1
320 0 -49912.81609436 0
321 0 -52442.52107814 0
322 1 27795.03410909 1
323 0 -28801.62245137 0
324 1 45521.15715665 1
325 1 38168.16062500 1
326 0 -46960.54102465 0
327 1 53854.98918519 1
328 1 45966.76498855 1
329 0 -8874.35975727 0
330 0 -34071.61829491 0
331 0 -55012.57579101 0
332 1 47249.73742135 1
333 0 -71888.08615827 0
334 0 -61854.15751857 0
