# idx_orig bit_orig post_llr hard
0 1 47787.46305819 1
1 1 73907.48921368 1
2 1 45972.61598903 1
3 1 71034.17513455 1
4 1 61292.20526899 1
5 0 -55773.87232562 0
6 0 -57147.48382752 0
7 1 48385.99380107 1
8 1 55528.07031425 1
9 0 -45758.62989284 0
10 0 -71271.99615513 0
11 0 -70794.73785829 0
12 0 -61252.62278284 0
13 0 -58515.47672101 0
14 0 -44320.27592740 0
15 1 43809.69917671 1
16 1 63129.59481171 1
17 1 63174.91698278 1
18 1 52471.32163807 1
19 0 -48174.94245197 0
20 0 -48970.50975395 0
21 1 41104.18068859 1
22 0 -44169.28034580 0
23 1 44885.10982452 1
24 0 -61776.36015630 0
25 0 -49803.99822729 0
26 1 53834.54257614 1
27 0 -46964.92865910 0
28 1 43243.69604511 1
29 1 48524.55217683 1
30 0 -51565.67206772 0
31 1 63343.42297691 1
32 0 -56068.39235310 0
33 0 -49487.34941688 0
34 0 -50294.70535983 0
35 1 50386.14098806 1
36 0 -55894.04779759 0
37 0 -64927.96838818 0
38 1 60546.84518016 1
39 1 56468.34834005 1
40 0 -57661.70782822 0
41 0 -63013.44974618 0
42 0 -48906.28136603 0
43 0 -50484.96548812 0
44 0 -47022.57244160 0
45 1 59072.69556102 1
46 1 57973.30666727 1
47 0 -56920.50779663 0
48 0 -61104.62258858 0
49 1 45582.82189208 1
50 0 -48140.09382071 0
51 1 47452.10885753 1
52 1 55360.01730601 1
53 1 51837.95722931 1
54 1 47434.39415025 1
55 0 -62702.67637377 0
56 1 44124.87903028 1
57 1 48579.40104742 1
58 0 -44915.11928330 0
59 1 66294.74608224 1
60 1 52376.34501249 1
61 1 45229.67558118 1
62 0 -49104.55207480 0
63 0 -48060.57164736 0
64 0 -57899.52573159 0
65 0 -37431.92433587 0
66 0 -63103.34459098 0
67 1 53126.87991151 1
68 1 53534.88014619 1
69 1 49726.96122396 1
70 0 -47593.86896849 0
71 0 -45571.02449934 0
72 1 34557.70724092 1
73 0 -49585.32201307 0
74 1 43590.08734180 1
75 1 41003.52068109 1
76 0 -44116.90052767 0
77 1 41366.52067698 1
78 1 45074.34760993 1
79 1 37094.01117258 1
80 1 46963.42205508 1
81 0 -38999.40921251 0
82 0 -42012.14841583 0
83 1 43442.09169923 1
84 1 44972.44263892 1
85 1 47876.44223365 1
86 0 -34591.97764590 0
87 1 54465.75004268 1
88 0 -44848.66240578 0
89 1 42122.89844058 1
90 1 47562.96698996 1
91 1 43886.21013793 1
92 0 -63271.26938590 0
93 0 -51203.07136330 0
94 1 55176.20256330 1
95 0 -49335.15656950 0
96 1 53050.50520493 1
97 0 -58600.98749851 0
98 1 50869.92998333 1
99 1 54719.46583482 1
100 1 42698.98528997 1
101 1 52236.45449119 1
102 1 46040.42550428 1
103 0 -44552.32847524 0
104 0 -50268.92455574 0
105 1 40784.52530299 1
106 0 -55106.98032851 0
107 1 49577.09228970 1
108 0 -47750.55652972 0
109 1 40086.18843008 1
110 0 -52040.34622903 0
111 0 -41171.22049009 0
112 1 40124.09411751 1
113 1 44758.29448572 1
114 1 38971.07675118 1
115 0 -51510.23575383 0
116 1 47243.93240619 1
117 0 -42719.64959729 0
118 0 -36547.87980701 0
119 1 44063.37827256 1
120 1 45698.73204176 1
121 0 -38822.18478863 0
122 0 -58295.28107206 0
123 0 -44215.20771940 0
124 1 50285.78054335 1
125 1 38931.91951235 1
126 1 48374.56050736 1
127 0 -48624.02688322 0
128 1 41401.28462445 1
129 1 52883.73917323 1
130 0 -51606.10299199 0
131 0 -49178.70971107 0
132 0 -44804.51810371 0
133 0 -51784.19701105 0
134 0 -50175.27387378 0
135 1 41921.98227589 1
136 1 55806.92481655 1
137 0 -53643.15168582 0
138 0 -51354.15455341 0
139 1 50587.31045155 1
140 0 -44387.46552158 0
141 1 50055.61998417 1
142 0 -42308.93735436 0
143 0 -52435.21792863 0
144 1 45033.02828519 1
145 1 55374.95479714 1
146 0 -53912.96651701 0
147 0 -46689.92923461 0
148 0 -47197.81594668 0
149 1 50144.74143625 1
150 0 -60044.11786487 0
151 1 47495.42472036 1
152 0 -45725.33059334 0
153 0 -53395.98658888 0
154 0 -43817.33985541 0
155 1 37602.03337673 1
156 1 39713.24149249 1
157 0 -49562.10767223 0
158 1 49920.51540549 1
159 0 -42730.35597510 0
160 1 46079.77629155 1
161 0 -37837.27411896 0
162 1 41304.94533276 1
163 1 45091.76470692 1
164 0 -66744.53519394 0
165 0 -46682.30066907 0
166 0 -47681.56551211 0
167 1 55352.70038971 1
168 1 44089.69971470 1
169 0 -45499.30062085 0
170 1 43646.10433932 1
171 0 -48642.75437382 0
172 0 -47252.88083040 0
173 0 -50585.33606399 0
174 1 47993.17644984 1
175 0 -30428.40574542 0
176 1 39748.64839387 1
177 1 44665.22331940 1
178 1 49162.30591534 1
179 1 36824.74465330 1
180 1 39769.96815940 1
181 0 -40227.51741485 0
182 0 -30909.20599449 0
183 1 30955.16600039 1
184 1 43598.37211858 1
185 0 -48011.57038415 0
186 0 -38174.08771585 0
187 0 -40607.04515994 0
188 1 44120.63173518 1
189 0 -41674.68767578 0
190 0 -31613.68642514 0
191 1 49171.74832037 1
192 0 -50069.85306273 0
193 1 43620.73349317 1
194 1 43276.83905882 1
195 0 -43727.67871886 0
196 1 42122.53023565 1
197 1 44084.60927107 1
198 1 51392.25516079 1
199 0 -55535.35544773 0
200 1 49113.84403977 1
201 0 -55545.51271376 0
202 0 -51700.50638697 0
203 0 -44299.28275165 0
204 1 51477.77767956 1
205 1 46786.80644575 1
206 1 61098.51231352 1
207 1 45764.41589415 1
208 0 -53294.42293303 0
209 0 -56261.94851554 0
210 0 -44414.81852607 0
211 1 44353.84657118 1
212 1 47312.23355494 1
213 0 -60665.66212446 0
214 1 48340.60574847 1
215 1 58936.67786501 1
216 1 46926.78729970 1
217 0 -44400.00221719 0
218 0 -41020.82639475 0
219 0 -53007.66666806 0
220 1 55773.51626513 1
221 0 -46049.17453397 0
222 0 -58611.00934726 0
223 0 -46339.06611490 0
224 0 -44334.55275318 0
225 0 -42912.92034447 0
226 0 -48953.07839853 0
227 1 56539.32748969 1
228 1 32015.66667366 1
229 1 50028.48328477 1
230 1 45254.47223833 1
231 0 -41650.75418197 0
232 1 42077.66533169 1
233 0 -42999.87233726 0
234 1 48744.96351796 1
235 0 -38393.52234283 0
236 0 -47149.81709657 0
237 1 40987.99258443 1
238 1 36607.12333551 1
239 0 -51820.35238950 0
240 0 -41524.10932970 0
241 1 54347.61814383 1
242 0 -49809.41095317 0
243 0 -53042.02589861 0
244 1 39032.90843491 1
245 1 45266.04462687 1
246 1 41930.29430452 1
247 0 -31288.72324887 0
248 0 -45622.56588830 0
249 1 28574.99743908 1
250 1 44672.92745649 1
251 0 -32180.35252876 0
252 1 31454.95130518 1
253 0 -32345.23609920 0
254 1 33881.50095785 1
255 1 41556.40443269 1
256 0 -32146.92645096 0
257 0 -46171.52747961 0
258 1 39894.18365459 1
259 0 -37948.71170170 0
260 1 45208.94631765 1
261 0 -37700.03836214 0
262 1 48910.12959721 1
263 1 40995.41889088 1
264 0 -49598.28369547 0
265 0 -35320.56691010 0
266 0 -37523.17353149 0
267 1 49966.92427640 1
268 0 -35104.90732668 0
269 1 52060.86682095 1
270 1 47612.92577172 1
271 1 54497.18974712 1
272 0 -35697.32287392 0
273 1 36417.82923542 1
274 1 47450.69570796 1
275 0 -37050.57986798 0
276 0 -51545.92748677 0
277 0 -40980.62807198 0
278 1 42860.37527216 1
279 1 40654.66847702 1
280 0 -38986.12339775 0
281 1 41954.60692535 1
282 0 -41183.80526837 0
283 1 53095.75627448 1
284 0 -37101.65829877 0
285 1 47903.78980079 1
286 1 50596.46255169 1
287 0 -43023.89980563 0
288 1 38382.11902093 1
289 0 -44645.69400752 0
290 1 53060.03711357 1
291 1 45091.00770153 1
292 0 -57383.02361535 0
293 0 -48324.01709176 0
294 0 -46390.97426871 0
295 1 44111.54102071 1
296 1 45616.24369582 1
297 1 43944.77082860 1
298 1 40790.09348893 1
299 1 49469.62345119 1
300 1 37354.22235782 1
301 0 -38534.39699951 0
302 0 -34760.65131608 0
303 0 -30506.46869534 0
304 1 42544.24680918 1
305 0 -46837.43160342 0
306 1 37102.41211262 1
307 0 -33989.68365980 0
308 0 -37011.57563429 0
309 0 -31352.18195689 0
310 0 -32794.07395649 0
311 0 -44001.42685769 0
312 0 -32736.83030184 0
313 1 36919.62390637 1
314 0 -35507.57714942 0
315 1 34769.64944854 1
316 0 -33661.88457551 0
317 0 -31899.64974127 0
318 0 -42888.89963243 0
319 1 35182.75675301 1
320 1 39389.72739848 1
321 1 36215.98615208 1
322 0 -32395.09800253 0
323 1 38900.98102899 1
324 1 38677.29085444 1
325 1 48852.70186093 1
326 0 -36377.66011944 0
327 1 50485.18412243 1
328 1 41721.31890268 1
329 0 -35667.66256233 0
330 0 -41122.55325680 0
331 1 43500.87615379 1
332 0 -59326.36639741 0
333 0 -32994.41561523 0
334 1 48894.16524951 1
335 0 -33257.07387378 0
336 0 -39212.73900782 0
337 0 -37801.27819299 0
338 1 34942.03346892 1
339 1 45218.08220473 1
340 1 36820.67942758 1
341 0 -38079.78974958 0
342 1 28491.54241739 1
343 1 34568.53982975 1
344 1 39555.51904342 1
345 1 28516.36437235 1
346 0 -37497.44962397 0
347 1 35871.37981735 1
348 1 35416.98441272 1
349 0 -40356.38312466 0
350 1 32928.63238023 1
351 0 -42054.34022852 0
352 0 -36217.09962088 0
353 0 -43331.98059250 0
354 1 37810.37145255 1
355 1 33881.07642655 1
356 0 -38139.28101398 0
357 0 -34068.65638864 0
358 1 35020.87804920 1
359 0 -28424.64300316 0
360 0 -44624.43153334 0
361 0 -39349.03257433 0
362 0 -39052.43611084 0
363 1 36980.82080750 1
364 1 31582.69618193 1
365 1 34767.17723533 1
366 0 -29801.03827807 0
367 1 42633.63718740 1
368 0 -30509.64955720 0
369 1 38937.11091264 1
370 0 -43146.44171755 0
371 0 -20589.42660554 0
372 0 -40093.29538048 0
373 1 23380.82979964 1
374 1 45211.18694165 1
375 0 -21008.54828452 0
376 1 35311.32630164 1
377 0 -26170.50826363 0
378 0 -21693.02093427 0
379 0 -31414.58715700 0
380 1 23770.78199701 1
381 0 -37408.20881768 0
382 1 24798.82359910 1
383 0 -28560.35859875 0
384 1 24598.33125760 1
385 0 -21472.06961879 0
386 1 23679.50045271 1
387 0 -25537.27555516 0
388 1 23737.26420013 1
389 1 23059.47326843 1
390 1 27001.89664824 1
391 0 -18140.85425796 0
392 1 -12207.10143377 0
393 1 22432.29561040 1
394 1 10848.49560892 1
395 1 27907.89562324 1
396 1 19471.79752946 1
397 0 -24232.65342071 0
398 1 13702.44932011 1
399 0 12207.10143377 1
400 0 -19471.79752946 0
401 1 10848.49560892 1
402 1 26526.73085698 1
403 0 -22245.97549192 0
404 0 -30244.25210017 0
405 0 -24627.01784790 0
406 0 -16880.96932089 0
407 0 -28768.01161334 0
408 0 -28023.77013844 0
409 0 -31879.95011401 0
410 0 -30444.53611487 0
411 1 32654.07075679 1
412 0 -36040.23050832 0
413 0 -22367.05663513 0
414 0 -23510.48186311 0
415 1 20545.76630278 1
416 1 39129.95960063 1
417 0 -32375.74597599 0
418 1 38400.49087718 1
419 0 -31398.90851743 0
420 1 22792.76085598 1
421 1 27260.71262052 1
422 0 -25281.34991603 0
423 0 -51871.76827933 0
424 1 32120.57135746 1
425 0 -32492.19532527 0
426 0 -25294.43204402 0
427 1 21416.29096587 1
428 1 31715.41803372 1
429 1 25115.62773391 1
430 0 -36544.85725927 0
431 1 27097.35208785 1
432 1 36432.75460562 1
433 0 -30949.15682126 0
434 1 23405.25725915 1
435 1 26763.03669878 1
