Turbo Decoder End-to-End Report
symbols=3200 n_half_iter=11 f1=111 f2=240 total_outputs=3200 expected_outputs=3200
final_decision_symbols=3200 bit_errors_vs_original=10
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 1 1 -7 -16 1 63 1 OK
1 1151 1 1 -8 -8 -15 63 1 OK
2 222 0 0 2 -10 -13 -64 0 OK
3 413 1 1 -15 8 -11 63 1 OK
4 1724 1 1 -7 -8 -12 63 1 OK
5 955 1 1 -12 -16 -16 63 1 OK
6 1306 1 1 -6 11 -7 63 1 OK
7 2777 1 1 -14 4 12 63 1 OK
8 2168 1 1 -9 9 -14 63 1 OK
9 2679 0 0 13 10 11 -64 0 OK
10 1110 1 1 -2 5 9 63 1 OK
11 661 0 0 2 -11 6 -64 0 OK
12 1332 0 0 10 12 15 -64 0 OK
13 3123 1 1 -16 -11 6 63 1 OK
14 2834 0 0 7 -8 -16 -64 0 OK
15 465 0 0 9 9 -14 -64 0 OK
16 2416 1 1 -1 10 15 63 1 OK
17 2287 1 1 -14 1 -9 63 1 OK
18 78 0 0 15 -4 15 -64 0 OK
19 2189 0 0 2 10 6 -64 0 OK
20 2220 1 1 -16 0 -5 63 1 OK
21 171 0 0 0 15 -3 -64 0 OK
22 2442 0 0 4 -3 14 -64 0 OK
23 2633 1 1 -4 0 -10 63 1 OK
24 744 0 0 12 -8 8 -64 0 OK
25 3175 0 0 14 -8 -7 -64 0 OK
26 326 1 1 -9 6 10 63 1 OK
27 1797 1 1 -12 -13 6 63 1 OK
28 1188 0 0 4 1 -16 -64 0 OK
29 1699 1 1 -12 8 -15 63 1 OK
30 130 0 0 8 15 -16 -64 0 OK
31 2881 1 1 -6 2 -7 63 1 OK
32 352 0 0 11 -11 -8 -64 0 OK
33 2143 0 0 8 8 -5 -64 0 OK
34 1854 0 0 12 14 -6 -64 0 OK
35 2685 1 1 -5 13 15 63 1 OK
36 1436 0 0 14 -16 -16 -64 0 OK
37 1307 0 0 9 11 14 -64 0 OK
38 2298 0 0 10 13 7 -64 0 OK
39 1209 0 0 8 -5 -1 -64 0 OK
40 1240 0 0 12 -16 -7 -64 0 OK
41 2391 1 1 -16 6 2 63 1 OK
42 1462 0 0 5 4 6 -64 0 OK
43 1653 0 0 14 8 -6 -64 0 OK
44 2964 1 1 -13 -10 9 63 1 OK
45 2195 0 0 -3 6 -9 -64 0 OK
46 2546 1 1 -13 11 -3 63 1 OK
47 817 1 1 -15 0 7 63 1 OK
48 208 1 1 -7 2 -10 63 1 OK
49 719 0 0 15 9 15 -64 0 OK
50 2350 0 0 15 5 4 -64 0 OK
51 1901 0 0 5 4 15 -64 0 OK
52 2572 1 1 -12 -10 15 63 1 OK
53 1163 0 0 2 11 -6 -64 0 OK
54 874 1 1 -10 1 -8 63 1 OK
55 1705 1 1 -4 -15 3 63 1 OK
56 456 1 1 -16 2 -1 63 1 OK
57 327 1 1 -16 -8 -14 63 1 OK
58 1318 1 1 -6 -6 8 63 1 OK
59 229 1 1 -7 4 -8 63 1 OK
60 260 1 1 -16 9 -10 63 1 OK
61 1411 1 1 -13 12 -10 63 1 OK
62 482 1 1 -7 -13 -16 63 1 OK
63 673 0 0 15 -12 0 -64 0 OK
64 1984 0 0 3 15 8 -64 0 OK
65 1215 0 0 7 -2 -16 -64 0 OK
66 1566 1 1 -16 -2 -2 63 1 OK
67 3037 1 1 -6 -14 -6 63 1 OK
68 2428 0 0 9 15 -11 -64 0 OK
69 2939 0 0 2 2 -13 -64 0 OK
70 1370 0 0 -1 -3 -11 -64 0 OK
71 921 1 1 -5 14 14 63 1 OK
72 1592 0 0 3 -15 11 -64 0 OK
73 183 0 0 15 -14 -1 -64 0 OK
74 3094 1 1 -1 10 -8 63 1 OK
75 725 0 0 5 15 15 -64 0 OK
76 2676 1 1 -10 -10 -7 63 1 OK
77 2547 0 0 9 5 -5 -64 0 OK
78 338 1 1 -3 15 -16 63 1 OK
79 2449 1 1 -13 -1 12 63 1 OK
80 2480 1 1 -4 7 13 63 1 OK
81 431 0 0 7 13 14 -64 0 OK
82 2702 0 0 15 10 -15 -64 0 OK
83 2893 1 1 -8 -9 15 63 1 OK
84 1004 0 0 15 0 8 -64 0 OK
85 235 1 1 -11 14 15 63 1 OK
86 586 0 0 8 12 -16 -64 0 OK
87 2057 1 1 -13 15 -16 63 1 OK
88 1448 0 0 11 -1 -10 -64 0 OK
89 1959 1 1 -15 -16 -16 63 1 OK
90 390 1 1 -14 -5 9 63 1 OK
91 3141 0 0 8 13 9 -64 0 OK
92 612 1 1 -16 -16 13 63 1 OK
93 2403 0 0 2 -6 -11 -64 0 OK
94 2114 0 0 7 4 15 -64 0 OK
95 2945 0 0 15 -12 -16 -64 0 OK
96 1696 1 1 2 2 15 63 1 OK
97 1567 0 0 8 7 -8 -64 0 OK
98 2558 0 0 9 7 -15 -64 0 OK
99 1469 1 1 -5 7 -16 63 1 OK
100 1500 0 0 13 -16 -12 -64 0 OK
101 2651 0 0 0 5 5 -64 0 OK
102 1722 1 1 -7 -8 11 63 1 OK
103 1913 0 0 8 -15 -6 -64 0 OK
104 24 1 1 2 -12 -6 63 1 OK
105 2455 1 1 -16 9 14 63 1 OK
106 2806 1 1 -11 9 15 63 1 OK
107 1077 0 0 15 -6 13 -64 0 OK
108 468 0 0 8 7 15 -64 0 OK
109 979 1 1 -15 -4 -11 63 1 OK
110 2610 1 1 -5 9 -8 63 1 OK
111 2161 1 1 -16 -11 5 63 1 OK
112 2832 0 0 12 15 -11 -64 0 OK
113 1423 1 1 -15 1 10 63 1 OK
114 1134 0 0 12 12 -2 -64 0 OK
115 1965 1 1 1 15 -9 63 1 OK
116 716 0 0 2 -11 7 -64 0 OK
117 587 0 0 9 9 5 -64 0 OK
118 1578 0 0 2 13 4 -64 0 OK
119 489 1 1 -6 8 -12 63 1 OK
120 520 1 1 -13 6 -13 63 1 OK
121 1671 1 1 -6 -7 12 63 1 OK
122 742 0 0 7 -3 -10 -64 0 OK
123 933 1 1 -9 2 11 63 1 OK
124 2244 1 1 -12 11 6 63 1 OK
125 1475 0 0 11 -5 -7 -64 0 OK
126 1826 0 0 8 -14 1 -64 0 OK
127 97 1 1 -7 0 10 63 1 OK
128 2688 0 0 2 15 7 -64 0 OK
129 3199 0 0 2 14 -2 -64 0 OK
130 1630 1 1 -16 -16 -1 63 1 OK
131 1181 0 0 3 11 -1 -64 0 OK
132 1852 1 1 -9 11 -15 63 1 OK
133 443 1 1 -3 -7 -14 63 1 OK
134 154 0 0 14 2 15 -64 0 OK
135 985 0 0 13 3 -3 -64 0 OK
136 2936 0 0 11 -6 -16 -64 0 OK
137 2807 1 1 -16 -4 -16 63 1 OK
138 598 1 1 -6 0 12 63 1 OK
