+====================+===================+=================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                             |
| clk                | clk               | siso_u/par_odd_local_mem_reg_0_15_2_2/SP/ADR2   |
| clk                | clk               | siso_u/sys_even_local_mem_reg_0_15_2_2/SP/ADR3  |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_2_2/SP/ADR3   |
| clk                | clk               | siso_u/par_even_local_mem_reg_0_15_4_4/SP/ADR1  |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_1_1/SP/ADR2   |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_2_2/SP/ADR3  |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_4_4/SP/ADR1  |
| clk                | clk               | siso_u/apri_even_local_mem_reg_0_15_4_4/SP/ADR3 |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_1_1/SP/ADR3   |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_2_2/SP/ADR2   |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_4_4/SP/ADR0  |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_4_4/SP/ADR2   |
| clk                | clk               | siso_u/sys_odd_local_mem_reg_0_15_4_4/SP/ADR3   |
| clk                | clk               | siso_u/par_odd_local_mem_reg_0_15_4_4/SP/ADR2   |
| clk                | clk               | siso_u/par_odd_local_mem_reg_0_15_4_4/SP/ADR3   |
| clk                | clk               | siso_u/par_even_local_mem_reg_0_15_4_4/SP/ADR3  |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_4_4/SP/ADR2  |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_4_4/SP/ADR3  |
| clk                | clk               | siso_u/apri_even_local_mem_reg_0_15_5_5/SP/ADR0 |
| clk                | clk               | siso_u/apri_even_local_mem_reg_0_15_5_5/SP/ADR1 |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_5_5/SP/ADR1  |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_5_5/SP/ADR0  |
| clk                | clk               | siso_u/apri_even_local_mem_reg_0_15_5_5/SP/ADR3 |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_5_5/SP/ADR2  |
| clk                | clk               | siso_u/apri_odd_local_mem_reg_0_15_5_5/SP/ADR3  |
| clk                | clk               | siso_u/beta_work_reg[0][2]/D                    |
| clk                | clk               | siso_u/beta_work_reg[2][1]/D                    |
| clk                | clk               | siso_u/beta_work_reg[0][1]/D                    |
| clk                | clk               | siso_u/beta_work_reg[5][0]/D                    |
| clk                | clk               | siso_u/beta_work_reg[2][2]/D                    |
| clk                | clk               | siso_u/beta_work_reg[5][1]/D                    |
| clk                | clk               | siso_u/beta_work_reg[0][3]/D                    |
| clk                | clk               | siso_u/beta_work_reg[5][6]/D                    |
| clk                | clk               | siso_u/beta_work_reg[4][0]/D                    |
