# idx_orig bit_orig post_llr hard
0 1 49161.74217128 1
1 0 -50649.97756394 0
2 0 -27960.61051304 0
3 1 53294.56888674 1
4 1 38955.86191893 1
5 1 47605.98829681 1
6 0 -45525.99866247 0
7 0 -46744.62094585 0
8 1 50143.09235240 1
9 0 -24280.99419942 0
10 0 -58606.77154495 0
11 0 -49129.28967917 0
12 0 -54203.98248073 0
13 0 -54773.83780988 0
14 0 -49151.49138887 0
15 0 -48372.29213651 0
16 0 -40453.52528287 0
17 0 -53919.86565213 0
18 1 48094.23400587 1
19 1 50108.16294007 1
20 0 -47250.68788869 0
21 1 51621.94769367 1
22 0 -53112.02121423 0
23 1 26930.79425221 1
24 1 51858.03181093 1
25 1 42221.73040153 1
26 0 -50556.56776303 0
27 1 37147.87478310 1
28 0 -51698.11932173 0
29 0 -44633.96723116 0
30 1 30700.72013422 1
31 0 -54321.42136853 0
32 0 -31897.38046761 0
33 0 -49829.96417285 0
34 0 -36129.63569902 0
35 0 -44867.01098380 0
36 1 36736.12956543 1
37 0 -16626.57587638 0
38 1 51894.40225367 1
39 1 29786.51058690 1
40 1 32002.20545410 1
41 1 38912.61446487 1
42 1 38381.61706144 1
43 1 30093.93426115 1
44 0 -16434.39890816 0
45 1 49793.33948703 1
46 1 47805.51677181 1
47 1 42398.92520492 1
48 1 39290.25356261 1
49 1 53651.60817034 1
50 0 -44077.30717744 0
51 0 -30669.62889411 0
52 1 53062.14936539 1
53 0 -47797.86080625 0
54 0 -53233.26098266 0
55 1 47864.72048604 1
56 1 43041.14381019 1
57 1 44319.11371458 1
58 1 13942.13414652 1
59 1 52606.25192224 1
60 1 33508.01097140 1
61 1 40679.90652459 1
62 0 -44757.25823940 0
63 1 46964.38300341 1
64 0 -39758.88500571 0
65 0 -6738.80435209 0
66 0 -41015.76493110 0
67 1 43199.90696230 1
68 1 45681.80901264 1
69 0 -39431.78465563 0
70 0 -36885.61735915 0
71 0 -36833.74350947 0
72 1 10770.84617175 1
73 1 53821.22960236 1
74 1 40905.14141384 1
75 0 -41014.89390141 0
76 1 43607.27638237 1
77 0 -40479.58696008 0
78 0 -40480.80858940 0
79 1 10246.57572467 1
80 0 -56057.33816170 0
81 0 -57375.55543046 0
82 0 -46711.16158055 0
83 0 -53681.95772108 0
84 1 51693.62654458 1
85 1 40999.20939289 1
86 0 -6738.80435209 0
87 1 58267.16330365 1
88 1 39546.78982877 1
89 1 45527.83489143 1
90 0 -42062.41718503 0
91 0 -48622.00966872 0
92 1 32005.47076871 1
93 1 16371.74620767 1
94 1 54251.06431692 1
95 0 -52176.95538048 0
96 0 -53958.22757661 0
97 1 42431.46091118 1
98 0 -45056.83348544 0
99 1 48393.43215621 1
100 0 -14728.08819206 0
101 0 -47687.65015184 0
102 1 44166.24177554 1
103 1 46186.42494158 1
104 0 -54007.17132140 0
105 1 49717.30705550 1
