# idx_int bit_int post_llr hard
0 0 -241277.88867752 0
1 0 -204987.00593734 0
2 0 -235095.10263513 0
3 0 -230002.91189853 0
4 1 258146.42452963 1
5 1 210283.86853578 1
6 0 -259833.30551543 0
7 1 230712.12951112 1
8 1 191479.77284553 1
9 1 238010.12234247 1
10 1 229739.67793848 1
11 0 -247496.57477430 0
12 0 -211336.65016068 0
13 1 221818.00206012 1
14 1 218279.01482337 1
15 1 218274.15332757 1
16 0 -248903.17510397 0
17 0 -239841.02148031 0
18 0 -252781.02727432 0
19 0 -224428.14254088 0
20 0 -258767.16188370 0
21 1 238797.79877656 1
22 0 -211403.68137000 0
23 0 -242391.40248385 0
24 0 -212929.87463880 0
25 1 265533.63973284 1
26 1 227104.65044402 1
27 1 248558.44936497 1
28 0 -224901.97668398 0
29 1 225231.72963749 1
30 0 -236824.94227221 0
31 0 -206154.82837734 0
32 0 -259521.79911486 0
33 0 -216403.35366668 0
34 1 244987.07420701 1
35 0 -198334.84495159 0
36 1 208666.46079137 1
37 1 246943.95516830 1
38 1 224028.14207044 1
39 0 -258219.00991806 0
40 1 222259.34326199 1
41 0 -253395.34277711 0
42 1 213751.89247189 1
43 0 -207315.40858849 0
44 1 229383.61053852 1
45 0 -240723.51004393 0
46 1 234334.75011920 1
47 0 -225646.33466417 0
48 0 -256502.66856020 0
49 0 -237990.86053412 0
50 1 214228.65272218 1
51 1 224810.61416609 1
52 0 -204847.32430464 0
53 1 227632.81230381 1
54 1 214699.12411282 1
55 0 -236465.41750077 0
56 1 233690.37599751 1
57 0 -225104.53303960 0
58 0 -245351.68283278 0
59 1 219042.54063198 1
60 1 242847.60214510 1
61 1 250923.37954611 1
62 0 -234248.31996342 0
63 0 -239257.93094162 0
64 0 -223203.47110823 0
65 0 -251398.15888379 0
66 0 -236963.36179462 0
67 1 239584.47101922 1
68 0 -221906.54673844 0
69 0 -247826.80581892 0
70 1 236146.91130071 1
71 0 -212620.41801518 0
72 0 -238586.72180881 0
73 1 209015.86820408 1
74 0 -258725.20149589 0
75 1 232214.02268034 1
76 0 -259744.55718992 0
77 0 -231096.36937716 0
78 0 -220174.37035721 0
79 0 -227357.38442586 0
80 0 -234012.31885960 0
81 1 245375.90045331 1
82 1 236250.18875754 1
83 0 -262985.15615916 0
84 0 -226349.12200167 0
85 1 206266.33465907 1
86 0 -238080.13048913 0
87 1 219087.86434224 1
88 0 -246063.39008288 0
89 0 -216651.98759349 0
90 1 250758.88398652 1
91 1 222712.74286671 1
92 0 -224689.72602634 0
93 0 -218712.63752843 0
94 0 -232269.44360519 0
95 0 -229889.34142035 0
96 1 231354.40101042 1
97 0 -225831.39822990 0
98 0 -238223.97419049 0
99 1 196233.91087490 1
100 1 244425.54113743 1
101 1 226619.44600798 1
102 0 -258475.01490513 0
103 0 -236495.01121967 0
104 0 -251051.05918150 0
105 1 225666.38694612 1
106 1 220305.15589624 1
107 1 219787.97187252 1
108 1 218241.62358289 1
109 0 -250308.94708054 0
110 0 -243664.21795597 0
111 0 -240658.82812240 0
112 1 236850.92951105 1
113 0 -212780.01986697 0
114 1 238884.12634618 1
115 0 -207504.43161959 0
116 1 262553.12047922 1
117 0 -235663.91774219 0
118 1 234339.94835114 1
119 1 213637.31437419 1
120 1 226846.70757049 1
121 1 229811.52599611 1
122 0 -219428.72136766 0
123 0 -226957.18451176 0
124 1 221860.75050389 1
125 0 -222822.39068492 0
126 0 -233156.05583749 0
127 0 -196257.96077034 0
128 0 -218215.96437913 0
129 0 -242004.26871106 0
130 0 -249632.19481604 0
131 1 209853.66441028 1
132 1 249037.78142519 1
133 1 214430.38054384 1
134 0 -216148.60284912 0
135 1 227995.77727477 1
136 0 -222062.02046169 0
137 0 -261742.16285966 0
138 0 -198335.81323091 0
139 1 227240.32840286 1
140 1 212142.80433156 1
141 0 -209098.88580991 0
142 0 -234958.91390955 0
143 0 -216398.87319940 0
144 1 241136.72136620 1
145 1 223928.90806677 1
146 0 -230226.38905954 0
147 1 203794.29934836 1
148 0 -198311.77912044 0
149 0 -244552.32812752 0
150 0 -222724.71939707 0
151 1 251054.87597198 1
152 0 -224364.93831562 0
153 1 236782.75140833 1
154 1 211601.28592986 1
155 1 226159.61810756 1
156 0 -237866.12895281 0
157 1 239910.37659938 1
158 1 234317.00296890 1
159 1 219664.71671287 1
160 1 242563.40690685 1
161 1 232528.25981923 1
162 0 -217859.68282704 0
163 1 236465.51290389 1
164 0 -230675.84720817 0
165 0 -245976.77840123 0
166 1 227698.96184494 1
167 1 239110.51030951 1
168 1 218697.55410410 1
169 1 209584.15551601 1
170 0 -228163.57170476 0
171 1 232305.51906324 1
172 1 244103.32827339 1
173 1 209265.18159651 1
174 1 244496.21272308 1
175 1 242204.88285376 1
176 1 213222.03024454 1
177 1 224649.55934901 1
178 1 235875.18660144 1
179 0 -216217.97779240 0
180 0 -203744.60649427 0
181 0 -254248.80805479 0
182 0 -229063.21367199 0
183 0 -186374.14219716 0
184 0 -245568.58349193 0
185 0 -223778.20660198 0
186 0 -222425.28752423 0
187 0 -211465.38016725 0
188 0 -238751.77982920 0
189 1 216638.19565519 1
190 0 -184324.04493048 0
191 1 244338.15078564 1
192 0 -233991.50828922 0
193 0 -236032.09704740 0
194 1 248149.89977872 1
195 0 -249774.38822671 0
196 0 -207891.63381507 0
197 0 -207623.32901092 0
198 0 -213816.64170533 0
199 0 -226561.25250106 0
