Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=19
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 1 1 -7 -10 -10 63 1 OK
1 5015 1 1 -9 -11 3 63 1 OK
2 3310 0 0 15 -7 -11 -64 0 OK
3 1029 0 0 15 -13 -14 -64 0 OK
4 4316 0 0 5 12 -14 -64 0 OK
5 883 1 1 -6 15 9 63 1 OK
6 3018 0 0 3 9 -12 -64 0 OK
7 4577 1 1 -12 15 -6 63 1 OK
8 5560 0 0 15 -12 8 -64 0 OK
9 5967 1 1 -9 -11 -11 63 1 OK
10 5798 0 0 5 1 -9 -64 0 OK
11 5053 1 1 -11 -16 2 63 1 OK
12 3732 1 1 -4 12 13 63 1 OK
13 1835 0 0 8 8 15 -64 0 OK
14 5506 1 1 -4 -14 11 63 1 OK
15 2457 0 0 8 9 9 -64 0 OK
16 4976 0 0 9 -5 14 -64 0 OK
17 775 0 0 8 9 0 -64 0 OK
18 2142 1 1 -7 -16 15 63 1 OK
19 2933 1 1 3 5 4 63 1 OK
20 3148 0 0 -4 15 -3 -64 0 OK
21 2787 1 1 -9 -7 12 63 1 OK
22 1850 1 1 -5 -16 -5 63 1 OK
23 337 1 1 -12 5 9 63 1 OK
24 4392 1 1 -10 7 -2 63 1 OK
25 1727 0 0 7 -4 -16 -64 0 OK
26 4630 0 0 10 8 -9 -64 0 OK
27 813 0 0 9 7 9 -64 0 OK
28 2564 0 0 13 -16 -3 -64 0 OK
29 3739 1 1 -11 15 -13 63 1 OK
30 4338 1 1 -13 0 11 63 1 OK
31 4361 1 1 0 8 12 63 1 OK
32 3808 0 0 15 9 -16 -64 0 OK
33 2679 1 1 -7 4 15 63 1 OK
34 974 1 1 -13 3 15 63 1 OK
35 4837 1 1 -5 -13 15 63 1 OK
