Turbo Decoder End-to-End Report
symbols=3200 n_half_iter=11 f1=111 f2=240 total_outputs=3200 expected_outputs=3200
final_decision_symbols=3200 bit_errors_vs_original=4
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 0 0 12 15 15 -64 0 OK
1 1151 0 0 11 9 -7 -64 0 OK
2 222 0 0 11 4 15 -64 0 OK
3 413 1 1 4 4 13 63 1 OK
4 1724 1 1 -13 -7 0 63 1 OK
5 955 0 0 14 -11 -9 -64 0 OK
6 1306 1 1 -11 11 12 63 1 OK
7 2777 1 1 -2 -8 -16 63 1 OK
8 2168 0 0 13 10 -16 -64 0 OK
9 2679 1 1 -16 13 -15 63 1 OK
10 1110 0 0 15 12 15 -64 0 OK
11 661 1 1 -8 5 -16 63 1 OK
12 1332 0 0 14 -16 -7 -64 0 OK
13 3123 1 1 -16 -16 -9 63 1 OK
14 2834 1 1 6 -9 -12 63 1 OK
15 465 0 0 4 7 1 -64 0 OK
16 2416 1 1 -6 -16 -5 63 1 OK
17 2287 0 0 8 -16 -12 -64 0 OK
18 78 0 0 8 15 -16 -64 0 OK
19 2189 1 1 -11 9 -1 63 1 OK
20 2220 0 0 15 15 15 -64 0 OK
21 171 0 0 15 -15 -4 -64 0 OK
22 2442 1 1 -10 13 -16 63 1 OK
23 2633 0 0 3 -7 -16 -64 0 OK
24 744 0 0 9 -6 3 -64 0 OK
25 3175 0 0 7 -14 9 -64 0 OK
26 326 1 1 -12 -7 0 63 1 OK
27 1797 1 1 -5 15 15 63 1 OK
28 1188 0 0 15 -3 6 -64 0 OK
29 1699 1 1 -7 10 9 63 1 OK
30 130 0 0 11 -16 -5 -64 0 OK
31 2881 0 0 15 -10 -16 -64 0 OK
32 352 1 1 -10 13 7 63 1 OK
33 2143 0 0 15 5 -16 -64 0 OK
34 1854 1 1 -14 -7 5 63 1 OK
35 2685 0 0 8 6 -8 -64 0 OK
36 1436 1 1 -9 -2 15 63 1 OK
37 1307 0 0 15 15 15 -64 0 OK
38 2298 0 0 15 -12 15 -64 0 OK
39 1209 0 0 11 -13 11 -64 0 OK
40 1240 0 0 5 4 -7 -64 0 OK
41 2391 1 1 4 -16 -3 63 1 OK
42 1462 1 1 -8 12 -15 63 1 OK
43 1653 1 1 -12 12 15 63 1 OK
44 2964 0 0 7 -10 -10 -64 0 OK
45 2195 1 1 2 -9 -12 63 1 OK
46 2546 0 0 15 15 -13 -64 0 OK
47 817 1 1 -1 -16 15 63 1 OK
48 208 0 0 8 -16 7 -64 0 OK
49 719 1 1 -16 -8 15 63 1 OK
50 2350 0 0 15 -2 -5 -64 0 OK
51 1901 1 1 -16 15 -14 63 1 OK
52 2572 1 1 -16 -4 12 63 1 OK
53 1163 0 0 10 15 10 -64 0 OK
54 874 1 1 -14 15 15 63 1 OK
55 1705 1 1 -16 -16 7 63 1 OK
56 456 0 0 15 -15 -10 -64 0 OK
57 327 1 1 -16 -4 -13 63 1 OK
58 1318 1 1 -15 15 1 63 1 OK
59 229 0 0 14 -8 -9 -64 0 OK
60 260 0 0 7 -4 -5 -64 0 OK
61 1411 0 0 15 -8 9 -64 0 OK
62 482 1 1 -16 -16 -7 63 1 OK
63 673 1 1 -16 11 15 63 1 OK
64 1984 0 0 15 4 15 -64 0 OK
65 1215 0 0 11 -7 -16 -64 0 OK
66 1566 0 0 15 -7 15 -64 0 OK
67 3037 0 0 15 13 -7 -64 0 OK
68 2428 1 1 -12 7 -14 63 1 OK
69 2939 1 1 -15 -16 15 63 1 OK
70 1370 1 1 -14 7 -7 63 1 OK
71 921 0 0 4 1 15 -64 0 OK
72 1592 0 0 -3 14 -3 -64 0 OK
73 183 1 1 -16 -8 9 63 1 OK
74 3094 0 0 12 15 9 -64 0 OK
75 725 1 1 -2 14 -10 63 1 OK
76 2676 0 0 15 4 15 -64 0 OK
77 2547 1 1 -14 14 -9 63 1 OK
78 338 1 1 9 10 12 63 1 OK
79 2449 1 1 -14 -3 8 63 1 OK
80 2480 1 1 -15 3 -3 63 1 OK
81 431 0 0 3 6 -11 -64 0 OK
82 2702 0 0 9 15 15 -64 0 OK
83 2893 1 1 -7 -16 10 63 1 OK
84 1004 1 1 -16 -10 -13 63 1 OK
85 235 1 1 -16 13 15 63 1 OK
86 586 1 1 -16 2 15 63 1 OK
87 2057 1 1 -16 15 8 63 1 OK
88 1448 1 1 -9 -5 1 63 1 OK
89 1959 0 0 10 -16 15 -64 0 OK
90 390 0 0 8 10 14 -64 0 OK
91 3141 1 1 -16 15 -12 63 1 OK
92 612 0 0 9 15 -10 -64 0 OK
93 2403 1 1 -12 15 -2 63 1 OK
94 2114 1 1 -10 -1 1 63 1 OK
